nom	type	média	personnes	organisations	médias
talard	interview	W9	boloré	france_tv	nintendo
tallard	ad	ad	ad	aad	ad
ad	ad	ada	adz ad	zad ad ad	azd adza azd
ad	azd	azd	azd	azd	azd
feur	presse	aazd	azd	azd	azd
zad	presse	Libération	Xavier Niel	Libération	Renault
azd	presse	Nice-Matin	Xavier Niel	azd	azd
azd	presse	Nice-Matin	Xavier Niel	ozad	zad
azd	presse	Nice-Matin	Xavier Niel	azd	azd
azd	presse	Nice-Mati	Xavier Niel	ad	zad
azd	azd	Paris-Turf	Xavier Niel	azd	azd
dazd	presse	Nice-Matin	Xavier Niel	azd	azd
azd	presse	Var-Matin	Xavier Niel 	zad	azd
adz	ad	Nice-Matin	Xavier Niel	azf	azf
zad	presse	Nice-Matin	Xavier Niel	ad	azd
azd	presse	Nice-Matin	Xavier Niel	azd	azd
zad	ad	presse	Xavier Niel	azd	azd
azd	azd	Nice-Matin	Xavier Niel	azd	azd
